town,website,first_name,practises,name,phone2,recommendation_number,phone1,recommendation_percentage,county,url,year_established,stars,postal_code,people1,people2,people3,number_of_stars,size
,http://www.ask4sam.net,Joseph,"Medical Malpractice,Birth Trauma,Obstetric Malpractice,Oncology Law,Pediatric Malpractice,Surgeon's Liability,Orthopedic Malpractice,Nursing Malpractice,Personal Injury,Automobile Accidents and Injuries,Brain Injury,Motorcycle Accidents,Slip and Fall,Wrongful Death,Construction Accidents,Hospital Negligence,Municipal Liability,Premises Liability,Negligence,Products Liability,Failure to Diagnose,Gynecology Malpractice,Medical Liability,Medical Negligence,Medication Errors,Nursing Liability,Nursing Negligence,Optometric Malpractice,Surgeons Liability,Wrong Site Surgery,Accidents,Automobile Negligence,Bodily Injury,Bus Accidents,Catastrophic Injury,Commercial Vehicle Liability,Electrical Injury,Head Injury,Motor Vehicle Accidents and Injuries,Pedestrian Injuries,Personal Injury Appeals,Plaintiffs Personal Injury,Power Line Contact Injury,School Bus Accidents,Severe Burns,Spinal Injury,Subway Accidents,Traumatic Brain Injury,Labor Law","Silberstein, Awad & Miklos, P.C.",,,212-233-6600,,,https://www.martindale.com/new-york/new-york/silberstein-awad-and-miklos-p-c-2009251-f/,,5.0,,Joseph P. Awad|Senior Partner,Joseph Miklos|Partner,,[17],[2]
,,,"Immigration Law,Family Immigration,Professional,Business Immigration,Deportation,Asylum Matters,Consular Matters,Customs Seizures,Penalties,Business Law",Basaran Law Offices,,,,,,https://www.martindale.com/new-york/new-york/basaran-law-offices-2289888-f/,,5.0,,,,,[1],
,,,,Kelton & Teichner,,,,,,https://www.martindale.com/kew-gardens/new-york/kelton-and-teichner-2084895-f/,,5.0,,,,,[1],
,http://www.hhk.com,Miriam,"General Civil Practice,Agencies,Both Trial,Appellate Practice,Corporate Law,Real Estate,Banking Law,Probate,Labor And Employment,Tax Law,Insurance,Negligence,Municipal Bonds,Condemnation,Utility Law","Hinman, Howard & Kattell, LLP",,,914-694-4102,,,https://www.martindale.com/white-plains/new-york/hinman-howard-and-kattell-llp-2018812-f/,,4.5,,Miriam R. Schindel|Partner,Daniel H. Roseman|Attorney,Ralph K. Kessler|Special Counsel,[343],[5]
,,,"Elder Law,Medicare And Medicaid,Medicaid Hearings,Medicaid Planing,Medicare And Medicaid Reimbursement,Trusts And Estates,Estate Administration,Estate Planning,Estate Planning For Parents Of Handicapped Children,Estate Planning For The Disabled,Estate Planning For The Elderly,Family Trusts,Living Trusts,Powers Of Attorney,Retirement Planning,Surrogates Court Practice,Trust Administration,Trust Law,Trust Planning,Wealth Preservation,Wills,Inheritance,Living Wills,Probate,Probate Administration,Probate Taxation,Guardianship,Advance Directives,Home Health Care,Long Term Care,Real Estate,Social Security,Social Security Appeals,Social Security Disability",Ira S. Schneider,,,,,,https://www.martindale.com/great-neck/new-york/ira-s-schneider-2291917-f/,,,,,,,,
,,,,Julius Rivera Law,,,,,,https://www.martindale.com/middletown/new-york/julius-rivera-law-43283721-f/,,4.9,,,,,[2],
,,,"Antitrust,Aviation Law,Biotechnology,Commercial Law,Communications Law,Complex Litigation,Contracts,Corporate Finance,Corporate Law,Corporate Litigation,Employment Litigation,Insurance Coverage,Insurance Litigation,Intellectual Property Litigation,International Law,Internet Law,Investments,Media Law,Mergers And Acquisitions,New Media Law,Outsourcing,Partnership Law,Securities,Securities Litigation,Sports Law,Tax Law,Telecommunications Law,Transactional  Law,Trial Practice,Venture Capital","Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",,,,,,https://www.martindale.com/new-york/new-york/mintz-levin-cohn-ferris-glovsky-and-popeo-p-c-2009017-f/,,5.0,,,,,[10],
,,,,"Freedman, Wagner, Tabakman & Weiss",,,,,,https://www.martindale.com/white-plains/new-york/freedman-wagner-tabakman-and-weiss-42739635-f/,,4.5,,,,,[1],
,,,,"Abramson, Glenn J., Esq.",,,,,,https://www.martindale.com/carle-place/new-york/abramson-glenn-j-esq-42970568-f/,,,,,,,,
,,,,"Ferro, Kuba, Mangano, Sklyar, P.C.",,,,,,https://www.martindale.com/new-york/new-york/ferro-kuba-mangano-sklyar-p-c-42692661-f/,,4.9,,,,,[2],
,,,,"Colliau, Elenius, Murphy, Carluccio, Keener & Morrow",,,,,,https://www.martindale.com/new-york/new-york/colliau-elenius-murphy-carluccio-keener-and-morrow-42700586-f/,,5.0,,,,,[19],
,,,,"The Wladis Law Firm, P.C.",,,,,,https://www.martindale.com/syracuse/new-york/the-wladis-law-firm-p-c-42431625-f/,,5.0,,,,,[1],
,,,,"Fine, Olin & Anderman, LLP",,,,,,https://www.martindale.com/garden-city/new-york/fine-olin-and-anderman-llp-42684630-f/,,4.4,,,,,[9],
,,,"Business Law,Commercial Law,Personal Injury,Products Liability,Real Estate","Scott Baron & Associates, P.C.",,,,,,https://www.martindale.com/yonkers/new-york/scott-baron-and-associates-p-c-42757618-f/,,4.3,,,,,[1],
,,,"Workers Compensation,Social Security Disability,Personal Injury,Veterans Disability,General Legal Services","Fine, Olin & Anderman, LLP",,,,,,https://www.martindale.com/buffalo/new-york/fine-olin-and-anderman-llp-42685570-f/,,4.4,,,,,[9],
,,,"Elder Law, Probate & Estate Planning,Arbitration & Mediation,Aviation,Banking, Corporate Finance & Tax,Commercial & Civil Litigation,Intellectual Property Litigation,Labor & Employment,Small Business & Corporate Transactions,Technology Law & Intellectual Property Transactions","James E. Carty III, P.C.",,,,,,https://www.martindale.com/new-york/new-york/james-e-carty-iii-p-c-42520584-f/,,,,,,,,
,,,,"Maloof, Lebowitz, Connahan & Oleske, P.C.",,,,,,https://www.martindale.com/new-york/new-york/maloof-lebowitz-connahan-and-oleske-p-c-42412566-f/,,5.0,,,,,[1],
,,,,Law Offices of Spencer A. Leeds,,,,,,https://www.martindale.com/brooklyn/new-york/law-offices-of-spencer-a-leeds-42674633-f/,,,,,,,,
,,,,"Spiegel & Utrera, P.A.",,,,,,https://www.martindale.com/new-york/new-york/spiegel-and-utrera-p-a-42703676-f/,,5.0,,,,,[1],
,,,"Workers Compensation,Social Security Disability,Personal Injury,Veterans Disability,General Legal Services","Fine, Olin & Anderman, LLP",,,,,,https://www.martindale.com/vestal/new-york/fine-olin-and-anderman-llp-42684561-f/,,4.4,,,,,[9],
,,,,"Gilbert, Blaszcyk & Milburn, LLP",,,,,,https://www.martindale.com/riverhead/new-york/gilbert-blaszcyk-and-milburn-llp-42676684-f/,,5.0,,,,,[3],
,,,"White Collar Criminal Defense,Criminal Defense and Appeals,Complex Civil Litigation,Labor Law and Employment,Environmental Enforcement and Litigation,Securities and Employment Arbitration,Securities Enforcement, Regulatory, and Broker-Dealer Matters,Internal Investigations, Corporate Compliance, and Monitor ships,Investigative Services,Alternate Dispute Resolution- ADR,Veterans Law",Doar Rieck Kaley & Mack,,,,,,https://www.martindale.com/garden-city/new-york/doar-rieck-kaley-and-mack-36834854-f/,,5.0,,,,,[1],
,,,,Thurston Law Office,,,,,,https://www.martindale.com/cato/new-york/thurston-law-office-42650664-f/,,4.8,,,,,[1],
,,,,"Sullivan & Kehoe, LLP, Attorneys at Law",,,,,,https://www.martindale.com/mineola/new-york/sullivan-and-kehoe-llp-attorneys-at-law-42711677-f/,,3.8,,,,,[7],
,http://www.motleyrice.com,Fidelma,"Aged and Aging Elder Abuse,Appellate Practice,Asbestos Bankruptcy,Asbestos Litigation,Accidents,Automobile Accidents and Injuries,Aviation Law,Birth Control Side Effects,Burn Pit Litigation,Catastrophic Injury,Chemical Exposure,Chemical Products Liability,Civil Appeals,Civil Liability,Complex and Multi-District Litigation,Complex Litigation,Corporate Governance,Corporate Fiduciary Law,Corporate Finance,Corporate Law,Defective Defibrillators,Defective Hip Implants,Drug and Medical Device Defense,Elder Care,Elder Law,Elder Rights,Engineering Products Liability,Environmental Class Actions,Environmental Cleanup,Environmental Compliance,Environmental Contamination,Environmental Cost Recovery,Environmental Diseases,Environmental Health and Safety,Environmental Law,Environmental Liability,Environmental Litigation,Environmental Products Liability,Federal Civil Litigation,Groundwater Contamination,Hazardous Waste,Heart Device Litigation,Hernia Patch Defects,Human Rights,Investment Fraud,Investment Law,Lead Poisoning,Litigation,Lung Cancer,Manufacturers Liability,Mass Torts,Mesothelioma,Motor Vehicle Accidents and Injuries,Motorcycle Accidents,Nuclear Waste,Nursing Home Abuse and Neglect,Nursing Malpractice,Nursing Negligence,Occupational Cancer,Occupational Disease,Occupational Safety and Health,Oil Pollution,Personal Injury,Pharmaceutical Drugs,Plaintiffs Personal Injury,Pollution,Product Defects,Product Failure,Product Recall,Product Safety,Product Warning Labels,Products Liability,Qui Tam Litigation,Seat Belt Injury,Securities Class Actions,Securities Disclosure,Securities Finance,Securities Fraud,Securities Fraud Class Actions,Securities Law,Securities Litigation,Shareholder Agreements,Shareholder Derivative Actions,Shareholder Derivatives,Shareholder Disputes,Shareholder Rights,Solid Waste,Tire Defect Litigation,Tobacco Litigation,Tort Liability,Torts,Toxic Chemicals,Toxic Exposure,Toxic Substances,Toxic Tort Class Actions,Toxic Torts,Trial Practice,Water Pollution,Whistleblower Litigation,Antitrust,Antitrust Class Actions,Competition,Deceptive Trade Practices,Price-Fixing,Transportation",Motley Rice LLC,,,"212-577-0040; 800-768-4026,800-768-4026",,,https://www.martindale.com/new-york/new-york/motley-rice-llc-36669001-f/,,4.5,,Fidelma Louise Fitzpatrick|Member,Michael Morris Buchman|Member,Erin C. Durba|Associate,[266],[4]
,,,"Personal Injury,Automobile Accidents And Injuries,Medical Malpractice,Motorcycle Accidents,Construction Accidents,Medical Negligence,Drugs And Narcotics,Medical Devices,Bicycle Accidents,Severe Burns,Railroad Accidents And Injuries,Slip And Fall,Wrongful Death,Workers Compensation,Liquor Liability,Electrical Injury,Products Liability,Premises Liability,Toxic Chemicals,Birth Injuries,Cerebral Palsy","Lowenthal & Abrams, P.C.",,,,,,https://www.martindale.com/new-york/new-york/lowenthal-and-abrams-p-c-42870702-f/,,4.7,,,,,[2],
,,,"Medical Malpractice,Products Liability,Personal Injury,Automobile Accidents,Wrongful Death,Slip And Fall,Criminal Law,Drug Crimes,Juvenile Law,Misdemeanors,Homicides,Felonies,Driving While Intoxicated,Traffic Violations","Cerussi & Gunn, P.C.",,,,,,https://www.martindale.com/garden-city/new-york/cerussi-and-gunn-p-c-42329553-f/,,4.7,,,,,[2],
,,,,"Abrams Garfinkel Margolis Bergson, LLP",,,,,,https://www.martindale.com/new-york/new-york/abrams-garfinkel-margolis-bergson-llp-42690576-f/,,5.0,,,,,[1],
,,,,Law Offices of Rahul Wanchoo Esq.,,,,,,https://www.martindale.com/new-york/new-york/law-offices-of-rahul-wanchoo-esq-36117903-f/,,,,,,,,
,,,,"Goldberg, Miller & Rubin P.C.",,,,,,https://www.martindale.com/mineola/new-york/goldberg-miller-and-rubin-p-c-42612591-f/,,3.3,,,,,[9],
,,,,"Sullivan & Kehoe, LLP, Attorneys at Law",,,,,,https://www.martindale.com/riverhead/new-york/sullivan-and-kehoe-llp-attorneys-at-law-42644773-f/,,3.8,,,,,[7],
,,,"Workers Compensation,Social Security Disability,Personal Injury","Law Offices of Dennis Kenny, P.C.",,,,,,https://www.martindale.com/goshen/new-york/law-offices-of-dennis-kenny-p-c-42305640-f/,,4.4,,,,,[4],
,,,"Wills,Trusts,Elder Law,Estate Planning",The Ettinger Law Firm,,,,,,https://www.martindale.com/nyack/new-york/the-ettinger-law-firm-42649557-f/,,4.5,,,,,[3],
,,,"Banks And Banking,Consumer Law,Internet Law,Privacy Law,Mortgages,Regulatory Law,Mergers And Acquisitions,Divestitures,Administrative Law,Business Law,Corporate Law,Finance,Government,Housing Law,Securities",BuckleySandler LLP,,,,,,https://www.martindale.com/new-york/new-york/buckleysandler-llp-42018570-f/,,4.8,,,,,[3],
,,,"General Civil Practice,State Government Law,Federal Practice,Commercial Law,Negligence,Insurance,Fire Insurance,Workers Compensation,Condemnation,Malpractice,Products Liability,Subrogation,Environmental Law,Trial Practice,Appellate Practice","Petrone & Petrone, P.C.",,,,,,https://www.martindale.com/albany/new-york/petrone-and-petrone-p-c-41896618-f/,,4.3,,,,,[12],
,,,"Mediation,Dispute Resolution Services,Legal Services",Jeffrey C. Carter,,,,,,https://www.martindale.com/new-york/new-york/jeffrey-c-carter-33443853-f/,,5.0,,,,,[1],
,,,"Administrative Law,Agribusiness,Arbitration,Mediation,Aviation Law,Banking Law,Finance,Capital Markets,Consumer Relations,Contracts,Country Desks,Economic Law,Competition Law,Environmental Law,Family Law,Probate,Foreign Investment,General Corporate,Health Care,Immigration Law,Information Technology,Infrastructure,Insolvency,Insurance,Reinsurance,Intellectual Property,International Trade,Labor And Employment,Litigation,Mining Law,Oil And Gas Law,Power Sector,Real Estate,Sanitation,Shipping,Maritime Law,Sports Law,Entertainment Law,Tax Law,Telecommunications Law,Transportation,Logistics",Felsberg Advogados,,,,,,https://www.martindale.com/new-york/new-york/felsberg-advogados-32609869-f/,,,,,,,,
,,,"Administrative Law,Antitrust And Trade Regulation,Banks And Banking,Commercial Law,Communications And Media,Computers And Software,Construction Law,Contracts,Copyrights,Corporate Law,European Union Law,Finance,Franchises And Franchising,Government,Insurance Law,Intellectual Property,International Law,International Trade,Labor And Employment,Leases And Leasing,Litigation,Mergers And Acquisitions,Personal Injury,Real Estate,Taxation,Technology And Science,Trademarks,White Collar Crime",Buse Heberer Fromm,,,,,,https://www.martindale.com/new-york/new-york/buse-heberer-fromm-24856754-f/,,4.6,,,,,[12],
,,,"Air Transport,Bankruptcy,Construction,Corporate,Labor and Employment,Environmental,Industry Practices,International,Intellectual Property,Litigation,Real Estate,Tax and Estate Planning","Smith, Gambrell & Russell, LLP",,,,,,https://www.martindale.com/new-york/new-york/smith-gambrell-and-russell-llp-33314874-f/,,4.9,,,,,[162],
,,,"Civil Litigation,Business Law,Corporate Law,Transactional Law,Commercial Real Estate,Insurance,Civil Practice,Federal Civil Practice,Commercial Law,Contracts,International Law,Leases and Leasing,Litigation,Negligence,Negligence Defense,Personal Injury,Products Liability,Real Estate,Workers Compensation,Wills,Trusts and Estates,Torts",Mueller Law Group,,,,,,https://www.martindale.com/new-york/new-york/mueller-law-group-5092498-f/,,4.5,,,,,[8],
,,,"Workers Compensation,Social Security Disability,Personal Injury,Disability Retirement Matters","Dell, Little, Trovato & Vecere, L.L.P.",,,,,,https://www.martindale.com/garden-city/new-york/dell-little-trovato-and-vecere-l-l-p-5077129-f/,,3.4,,,,,[3],
,,,"Internal Investigations and Corporate Compliance,Complex & High-Stakes Litigation,Business Insolvency & Restructuring,Real Estate",Diamond McCarthy LLP,,,,,,https://www.martindale.com/new-york/new-york/diamond-mccarthy-llp-24616044-f/,,5.0,,,,,[8],
,,,,Lacy Katzen LLP,,,,,,https://www.martindale.com/charlotte/new-york/lacy-katzen-llp-32148001-f/,,4.8,,,,,[14],
,,,"Complex Litigation,Class Actions,Securities,Antitrust,Insurance,Employment Law,Consumer Law,Health Care,Human Rights,Employment Discrimination",Robbins Geller Rudman & Dowd LLP,,,,,,https://www.martindale.com/new-york/new-york/robbins-geller-rudman-and-dowd-llp-28275838-f/,,4.5,,,,,[35],
,,,"General French,European Union Law,International Law Practice,Mergers & Acquisitions,Corporate Law,Tax Law,Labour Law,Commercial Contracts,Agency & Distribution,Product Liability,New Technologies,Media Law,Intellectual,Industrial Property,Ec Law,French Competition  Law,Regulatory Law,Economic Law,Insurance,Banking & Finance,Business Reorganization,Bankruptcy,Litigation,Arbitration","Boedels, Silva de Balboa y Fitz-James & Assoc.",,,,,,https://www.martindale.com/new-york/new-york/boedels-silva-de-balboa-y-fitz-james-and-assoc-23096070-f/,,,,,,,,
,http://www.injurylawyer.com,Allen,"Motor Vehicle Accidents,Slip and Fall,Medical Malpractice,Construction Accidents,Plaintiff&apos;s Personal Injury,Products Liability,Toxic Torts,Aviation Litigation,Unintended Acceleration,Automotive Crashworthiness,Automotive Design Liability,Brain Injury,Catastrophic Injury,Nursing Home Negligence,Accidents,Bicycle Accidents,Bodily Injury,Bus Accidents,Commercial Vehicle Liability,Electrical Injury,Head Injury,Motorcycle Accidents,Pedestrian Injuries,Plaintiffs Personal Injury,Sexual Abuse,Spinal Injury,Subway Accidents,Traumatic Brain Injury,Whiplash,Wrongful Death,Asbestos Litigation,Premises Liability,Scaffolding Liability,Birth Trauma,Failure to Diagnose",The Rothenberg Law Firm LLP,,,"844-300-7317,212-563-0100,800-257-4878",,,https://www.martindale.com/new-york/new-york/the-rothenberg-law-firm-llp-28042838-f/,,4.8,,Allen L. Rothenberg|Managing Partner,Harry Rothenberg|Partner,Marc Rothenberg|Member,[30],[7]
,,,"Securities,Professional Liability,Labor & Employment",Edgerton & Weaver LLP,,,,,,https://www.martindale.com/new-york/new-york/edgerton-and-weaver-llp-22512752-f/,,4.9,,,,,[44],
,,,"Securities Litigation,Arbitration,Insurance Coverage,Real Estate Litigation,Land Use Litigation,Employment Litigation,Broker Dealer Arbitration,Civil Litigation","De Meo & Feigin, L.L.C.",,,,,,https://www.martindale.com/new-york/new-york/de-meo-and-feigin-l-l-c-24441758-f/,,,,,,,,
,http://www.jacksonlewis.com,William,"Affirmative Action and OFCCP Planning and Counseling,Corporate Diversity Counseling,Disability, Leave and Health Management,Employee Benefits including Complex ERISA Litigation and Executive Compensation,Global Immigration,Labor, including Preventive Practices,Litigation including Class Actions and e-Discovery,Non-Competes and Protection Against Unfair Competition,Wage and Hour Compliance,Workplace Safety Compliance",Jackson Lewis P.C.,,,518-434-1300,,,https://www.martindale.com/albany/new-york/jackson-lewis-p-c-28153930-f/,,4.7,,William J. Anthony|Principal,Richard D. Landau|Principal,Vincent E. Polsinelli|Principal,[943],[27]
,,,"Bankruptcy, Insolvency and Creditors' Rights,Construction,Corporate,Employment and Labor,Family,Health Care,Intellectual Property,Litigation,Real Estate Finance, Investment and Development,Trusts and Estates",Becker Meisel LLC,,,,,,https://www.martindale.com/new-york/new-york/becker-meisel-llc-157688989-f/,,4.8,,,,,[40],
,,,"Business Litigation,Class Action Defense,Collections,Commercial Litigation,Creditor Rights In Bankruptcy,Evictions,Financial Services  Litigation,Loan Work Outs,Mortgage Banking Law,Real Estate Litigation,Receiverships,Representation Of Foreclosure Trustees,Representation Of Bankruptcy Trustees,Secured Transactions,Surplus Distribution,Title Disputes",Houser & Allison A Professional Corporation,,,,,,https://www.martindale.com/new-york/new-york/houser-and-allison-a-professional-corporation-157862021-f/,,5.0,,,,,[1],
,,,"Administrative,Bankruptcy,Commercial Law,Civil Rights,Construction Law,Criminal Law,Employment Law,Entertainment Law,Estate Planning,Family Law,Health Care Law,Immigration Law,Insurance Law,Labor Law,Litigation and Appeals,Personal Injury,Probate and Estate,Product Liability Law,Malpractice,Real Estate Law,State and Local Law,Transportation Law",Koulikourdis & Associates,,,,,,https://www.martindale.com/bronx/new-york/koulikourdis-and-associates-157687943-f/,,3.8,,,,,[1],
,,,"Matrimonial Law,Family Law,Criminal Defense,Bankruptcy Law",Fitzgerald & Associates,,,,,,https://www.martindale.com/new-york/new-york/fitzgerald-and-associates-158198071-f/,,,,,,,,
,,,"White Collar Crime,Civil Litigation,Health Care Fraud,Monitoring & Investigations,Whistleblower Allegations,Brand Protection Services,Criminal Litigation","Kaiser Law Firm, PLLC",,,,,,https://www.martindale.com/commack/new-york/kaiser-law-firm-pllc-158141029-f/,,4.4,,,,,[7],
,,,"Legal Opinions,Litigation and Litigation Support,Immigration Law,Appellate Litigation,Family Law,Criminal Law,Admiralty and Maritime Law,Appellate Practice,Asset Protection,Aviation and Aerospace,Banks and Banking,Business Law,Civil Law,Class Actions,Collections,Commercial Law,Communications and Media,Company Law,Computers and Software,Contracts,Copyrights,Corporate Law,Debtor and Creditor,Education Law,Energy,Environmental Law,Alimony,Annulment,Cohabitation Agreements,International Divorce,International Family Law,Marital Property Law,Matrimonial Law,Property Division,Separation Agreements,Spousal Support,Family Mediation,Domestic Violence,Divorce Mediation,Marital Agreements,Divorce,Divorce Arbitration,Collaborative Family Law,Franchises and Franchising,Hospital Law,Immigration and Naturalization,Intellectual Property,International Law,International Trade,Internet Law,Investments,Legal Ethics and Professional Responsibility,Litigation,Media Law,Medical Malpractice,Natural Resources,Negligence,Nonprofit and Charitable Organizations,Partnership Law,Patents,Property Law,Real Estate,Sports Law,Taxation,Trade Secrets,Trademarks,Wills","Monteblanco & Associates, LLC",,,,,,https://www.martindale.com/new-york/new-york/monteblanco-associates-llc-158130057-f/,,,,,,,,
,,,Litigation,"BP Law Group, LLP",,,,,,https://www.martindale.com/new-york/new-york/bp-law-group-llp-158158347-f/,,,,,,,,
,,,"Personal Injury,Medical Malpractice,Nursing Home Abuse,Failure to Diagnose,Surgical Errors,Breast Cancer,Birth Injury or Trauma,Auto Accident,Truck Accident,Pedestrian Knockdowns,Motorcycle Accident,Burn Injury,Paralysis,Brain Injury,Spinal Injury,Fracture Injury,Dog Bite Injury,Construction & Ladder Accidents,Falling Objects,Labor Law 240/241,Workers Compensation,Airplane Accident,Wrongful Accident,Premise Liability,Sexual Assault,Lead Poisoning,Train Accident,World Trade Center Injury,Defective Drugs,Defective Medical Device",Frekhtman & Associates,,,,,,https://www.martindale.com/middle-village/new-york/frekhtman-and-associates-157753447-f/,,4.8,,,,,[4],
,,,"Criminal Law,Family Law,Real Estate,Traffic Violations","Richard F. Sweeney, Attorney at Law",,,,,,https://www.martindale.com/yonkers/new-york/richard-f-sweeney-esq-158170379-f/,,,,,,,,
,,,"Bankruptcy,Bankruptcy Chapter 7,Bankruptcy Chapter 13,Bankruptcy Litigation,Consumer Bankruptcy,Debt Relief,Debtor Bankruptcy,Foreclosures,Personal Bankruptcy,Repossessions","Madill Law Office, P.C.",,,,,,https://www.martindale.com/syracuse/new-york/madill-law-office-p-c-157752429-f/,,5.0,,,,,[3],
,,,"International Law,International Litigation,Corporate Transactions,Trade Regulation,Investments,Financial",The Eren Law Firm,,,,,,https://www.martindale.com/new-york/new-york/the-eren-law-firm-157750265-f/,,5.0,,,,,[1],
,,,"Criminal Process,Misdemeanor,Felonies,Driving While Intoxicated,Assault,Petit Larceny,Traffic,Orders of Protection,Domestic Violence,Drug Crimes,Immigration,Appeals,Sex Crimes,Internet Crimes","Raiser & Kenniff, PC",,,,,,https://www.martindale.com/mineola/new-york/raiser-and-kenniff-pc-158137853-f/,,5.0,,,,,[19],
,,,"Personal Injury Practice Areas,Airplane Accident,Amputations,Amusement Park Accidents,Asbestos Exposure,ATV Accidents,Auto Accidents,Benzene,Bike Accidents,Boating Accidents,Brain Injury Cases,Broken Bones and Fractures,Burn and Scar Injury Cases,Bus Accidents,Catastrophic Injury,Construction & Scaffold Accidents,Dangerous Drugs,Defective Products,Dog Bites,Farming Accidents,Food borne Illness,Gulf Oil Spill Accident,Hydraulic Fracturing,Lead Paint Poisoning,Medical Malpractice,Motorcycle Accidents,Pedestrian Accidents,Railroad Accidents,Serious Injuries,Slip & Fall Injury Accident,Spinal Cord Injury Cases,Swimming Accidents,Truck Accidents,Workers Comp Third Party Claim,Wrongful Death,WTC Victims Compensation Fund","Cellino & Barnes, P.C.",,,,,,https://www.martindale.com/garden-city/new-york/cellino-and-barnes-p-c-157671775-f/,,4.4,,,,,[80],
